"No.","Time","Source","Destination","Protocol","Length","Info"
"66","600.021729","192.168.149.128","185.125.190.48","TCP","74","37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4277403352 TSecr=0 WS=128"
"67","600.161347","185.125.190.48","192.168.149.128","TCP","60","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"68","600.161548","192.168.149.128","185.125.190.48","TCP","54","37604  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"69","600.163639","192.168.149.128","185.125.190.48","HTTP","141","GET / HTTP/1.1 "
"70","600.164721","185.125.190.48","192.168.149.128","TCP","60","80  >  37604 [ACK] Seq=1 Ack=88 Win=64240 Len=0"
"71","600.303740","185.125.190.48","192.168.149.128","HTTP","201","HTTP/1.1 204 No Content "
"72","600.305866","192.168.149.128","185.125.190.48","TCP","54","37604  >  80 [FIN, ACK] Seq=88 Ack=149 Win=64092 Len=0"
"73","600.306362","185.125.190.48","192.168.149.128","TCP","60","80  >  37604 [ACK] Seq=149 Ack=89 Win=64239 Len=0"
"74","620.302614","100.20.30.105","192.168.149.128","TLSv1.2","85","Application Data"
"75","620.304620","192.168.149.128","100.20.30.105","TLSv1.2","89","Application Data"
"76","620.305160","100.20.30.105","192.168.149.128","TCP","60","443  >  45766 [ACK] Seq=127 Ack=143 Win=64240 Len=0"
"77","773.729713","192.168.149.128","142.250.195.10","TCP","74","36342  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1240373145 TSecr=0 WS=128"
"78","773.776888","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"79","773.776981","192.168.149.128","142.250.195.10","TCP","54","36342  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"80","773.783893","192.168.149.128","142.250.195.10","TLSv1.3","726","Client Hello"
"81","773.784700","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=1 Ack=673 Win=64240 Len=0"
"82","773.785010","192.168.149.128","142.250.195.10","TLSv1.3","60","Change Cipher Spec"
"83","773.785195","192.168.149.128","142.250.195.10","TLSv1.3","819","Application Data"
"84","773.785520","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=1 Ack=679 Win=64240 Len=0"
"85","773.785520","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=1 Ack=1444 Win=64240 Len=0"
"86","773.894806","142.250.195.10","192.168.149.128","TLSv1.3","915","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"87","773.894874","192.168.149.128","142.250.195.10","TCP","54","36342  >  443 [ACK] Seq=1444 Ack=862 Win=63714 Len=0"
"88","773.895237","142.250.195.10","192.168.149.128","TLSv1.3","1911","Application Data, Application Data, Application Data, Application Data"
"89","773.895421","192.168.149.128","142.250.195.10","TCP","54","36342  >  443 [ACK] Seq=1444 Ack=2719 Win=61857 Len=0"
"90","773.897762","192.168.149.128","142.250.195.10","TLSv1.3","138","Application Data, Application Data"
"91","773.899425","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=2719 Ack=1528 Win=64240 Len=0"
"92","773.900919","192.168.149.128","142.250.195.10","TLSv1.3","85","Application Data"
"93","773.901393","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=2719 Ack=1559 Win=64240 Len=0"
"94","773.907623","192.168.149.128","142.250.195.10","TLSv1.3","93","Application Data"
"95","773.908099","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=2719 Ack=1598 Win=64240 Len=0"
"96","773.911308","192.168.149.128","142.250.195.10","TLSv1.3","78","Application Data"
"97","773.912319","192.168.149.128","142.250.195.10","TCP","54","36342  >  443 [FIN, ACK] Seq=1622 Ack=2719 Win=62780 Len=0"
"98","773.912322","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=2719 Ack=1622 Win=64240 Len=0"
"99","773.913355","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [ACK] Seq=2719 Ack=1623 Win=64239 Len=0"
"100","773.958131","142.250.195.10","192.168.149.128","TCP","60","443  >  36342 [FIN, PSH, ACK] Seq=2719 Ack=1623 Win=64239 Len=0"
